Tweet,Borough,Hate Prediction,Tweet Date,Latitude,Longitude
italy first france nd,Romford,other,2022-12-24 11:40:19+00:00,51.5760462,0.1822646
a man pussy,Camden Town,sexism,2022-12-24 11:25:58+00:00,51.5423045,-0.1395604
england before thailand amp belgium sure jan,Lewisham,other,2022-12-24 11:07:14+00:00,51.4624292,-0.0101787
three blind lice,Barnet,other,2022-12-24 10:47:53+00:00,51.65309,-0.2002261
deport him now fgs,Hounslow,racism,2022-12-24 10:45:43+00:00,51.4686132,-0.3613471
oh please you’re gay for a mince pie,Poplar,sexual_orientation,2022-12-24 10:34:58+00:00,51.5110713,-0.0144629
fuck ‘em,Camden Town,racism,2022-12-24 10:19:42+00:00,51.5423045,-0.1395604
who needs the borderforce we might legitimately ask ❓travel seems easier efficiency shines through as militaryprecision takes over at passport control…now give them a chance to stop migrants ❓❓militaryefficiency,Hillingdon,racism,2022-12-24 10:19:34+00:00,51.542519299999995,-0.44833493117949663
uninterestednni worrynni really donn,Wandsworth,other,2022-12-24 10:07:49+00:00,51.4570271,-0.1932607
hidden london beyond comparison little venicenreportagespotlight nlittlevenice nexploringlondon n n little venice london,Paddington,other,2022-12-24 10:04:42+00:00,51.5185075,-0.1787546
g plan bookcase vintique london,Lewisham,other,2022-12-24 09:50:03+00:00,51.4624292,-0.0101787
danish rosewood shelving unit vintique london,Lewisham,other,2022-12-24 09:48:30+00:00,51.4624292,-0.0101787
g plan drinks cabinet vintique london,Lewisham,other,2022-12-24 09:45:29+00:00,51.4624292,-0.0101787
danish rosewood display case vintique london,Lewisham,other,2022-12-24 09:42:44+00:00,51.4624292,-0.0101787
ropeaccess windowcleaninglife workatheights abseiling london lovemyjob abseilers london united kingdom,City of London,other,2022-12-24 09:39:36+00:00,51.515053699999996,-0.09311889867661148
one thing is certain there is nothing islamic about the iranian regime they are quite simply a terrorist gang that abuses the power it holds in iran and murders its own young these are the very worst type of criminals carbon copies of putin xi jong un lukashenko etc,Ealing,religion,2022-12-24 09:32:10+00:00,51.5126553,-0.3051952
so am i but you dont see us going around on socials tweeting it seems like youre one of those hoes that begs for attention then when you get it you reject or shun that individual who gave you attention in the first place😤,Enfield,sexism,2022-12-24 09:24:48+00:00,51.6520851,-0.0810175
china jail i wondered 🐝🐝,Islington,racism,2022-12-24 09:21:03+00:00,51.5384287,-0.0999051
propaganda it’s a busy industry 🐞🐞 let’s all the unhappy people who don’t like china move to the west thought the chinese government 🪰🪰 they will get fat like man city football player,Islington,racism,2022-12-24 09:08:09+00:00,51.5384287,-0.0999051
corona spreader,Harrow,racism,2022-12-24 09:05:05+00:00,51.596827149999996,-0.3373046180437286
die hardnmuppet christmas carolngremlins,Lambeth,other,2022-12-24 08:54:28+00:00,51.4952111,-0.1163354
x spare ticket studio release nye new year’s eve party going cheap,Bromley,other,2022-12-24 08:44:20+00:00,51.36685695,0.061709076090816765
bastard tourists,Harrow,other,2022-12-24 08:25:32+00:00,51.596827149999996,-0.3373046180437286
a bunch of smelly immigrants is your answer,Kensington,racism,2022-12-24 08:11:57+00:00,51.4989948,-0.1991229
my parents would be too embarrassed if i shot a girl in the foot,Brent,sexism,2022-12-24 08:04:30+00:00,51.5639957,-0.27590641378489267
next book james patterson seconds,Sutton,other,2022-12-24 07:32:23+00:00,51.3612155,-0.1921503
more left wing retards,Camberwell,disability,2022-12-24 07:07:28+00:00,51.4745706,-0.0925416
your honour take him back to his country,Brent,racism,2022-12-24 06:37:42+00:00,51.5639957,-0.27590641378489267
strollingaround colourfulbuildings nnnnntb nottinghill portobello beaugouk london united kingdom,City of London,other,2022-12-24 05:46:09+00:00,51.515053699999996,-0.09311889867661148
beauty editorialnfeat marine g amp pauline mnjewellery piti by cendrillonnphoto amp editing nissue chelsea london,Kensington,other,2022-12-24 05:27:12+00:00,51.4989948,-0.1991229
shut her ass down 😂😭,Ealing,sexism,2022-12-24 03:52:27+00:00,51.5126553,-0.3051952
still sensible pulse rate home operation generalanesthesia belsize park,Camden Town,other,2022-12-24 01:35:44+00:00,51.5423045,-0.1395604
now lets analyze all political sensitive issues in china without scruple nnhongkong uyghurgenocide chinaprotest nn,London,racism,2022-12-24 00:52:52+00:00,36.4846239,-119.44405977174983
men will disgrace you 😂😂😂,Hackney,sexism,2022-12-23 23:53:38+00:00,51.5432402,-0.0493621
bikeoftheday cargobike mobilebicyclemechanics london unιted kingdom,Camberwell,other,2022-12-23 23:02:05+00:00,51.4745706,-0.0925416
is a budtameez gullu butt who should be muzzled and put in a cage with other stray dogsn,Hillingdon,racism,2022-12-23 22:10:13+00:00,51.542519299999995,-0.44833493117949663
turkish njamaican nchinese nitaliannmexican,Enfield,other,2022-12-23 22:07:15+00:00,51.6520851,-0.0810175
they are girls with big chips on their shoulders and look ridiculous,Ealing,sexism,2022-12-23 22:05:56+00:00,51.5126553,-0.3051952
hes a fucking cunt,Hackney,sexism,2022-12-23 21:40:50+00:00,51.5432402,-0.0493621
these ladies are silly if there’s no or lesser demand obviously there’ll be less profit made,Camberwell,sexism,2022-12-23 21:26:15+00:00,51.4745706,-0.0925416
dinner time london united kingdom,City of London,other,2022-12-23 20:58:52+00:00,51.515053699999996,-0.09311889867661148
belated winter solstice meal nnnanyexcuse sushibento eateateat nomnomnom london eat tokyo golders green,Barnet,other,2022-12-23 20:43:42+00:00,51.65309,-0.2002261
correctedn francen italyn spainn indian greece,Camden Town,other,2022-12-23 20:20:13+00:00,51.5423045,-0.1395604
blackmonkey coming,Barking,racism,2022-12-23 19:29:52+00:00,51.5389922,0.0804245
men are so confusing,Poplar,sexism,2022-12-23 19:20:18+00:00,51.5110713,-0.0144629
monk fish tho nnnnlondon🇬🇧 londonfood londonbacklog rabbit,Kensington,other,2022-12-23 19:17:30+00:00,51.4989948,-0.1991229
so sorry you have been the victim of a brainless act by a ………… i didn’t want to say cretinous cunt whoops 😳,Lewisham,sexism,2022-12-23 19:00:12+00:00,51.4624292,-0.0101787
christmas films…now one of our festive favourites…i mean shannon perlman and mcshane in one place how many strong brows can a girl take,Camden Town,sexism,2022-12-23 18:41:48+00:00,51.5423045,-0.1395604
mother f … coward,Brent,other,2022-12-23 18:26:23+00:00,51.5639957,-0.27590641378489267
then she should say up yours and continuenhow we the people want her too thats to stop illegal migrationdeport the ones in hotels now our homeless should be housedhow many froze to death in the last days disregard the wokes🤬🤬🤬,Hounslow,racism,2022-12-23 18:16:27+00:00,51.4686132,-0.3613471
it’s cashappfriday rt follow me and pay your tax🔥🔥🔥🔥nnfriday tax £cpmasterbdsmnncashmaster findom alpha finsub paypig cashpig finfag,London,sexual_orientation,2022-12-23 18:07:35+00:00,36.4846239,-119.44405977174983
ffs them sausage roll twats are christmas number,Croydon,sexism,2022-12-23 18:05:56+00:00,51.3713049,-0.101957
happyfriday technology innovation humanity humans digitaltransformation reinvent data datascience cloud startups entrepreneurs consultants blockchain ai lifelessons fintech iot cloudcomputing happyweekend happy holidays everyone,London,other,2022-12-23 17:52:06+00:00,36.4846239,-119.44405977174983
fuck off pedo 😂,Bromley,sexual_orientation,2022-12-23 17:37:50+00:00,51.36685695,0.061709076090816765
been scrubbing my kitchen all eveningnnknowing my luck and white cell ncount i’m looking forward to hantavirus aren’t i,Wandsworth,racism,2022-12-23 17:36:04+00:00,51.4570271,-0.1932607
try white hoxton handfed rich polish shrew also got gloucestershire snap pea,Hackney,other,2022-12-23 17:12:41+00:00,51.5432402,-0.0493621
i hate teslaman so much 😭,Poplar,religion,2022-12-23 17:06:03+00:00,51.5110713,-0.0144629
attention seeker mission accomplished,Hackney,other,2022-12-23 16:54:41+00:00,51.5432402,-0.0493621
nman hooded jacketnaccessories england,Lambeth,other,2022-12-23 16:49:19+00:00,51.4952111,-0.1163354
“libertarian” reactionary crank says what now,Camden Town,other,2022-12-23 16:41:06+00:00,51.5423045,-0.1395604
errrrr you couldn’t score in a whore house ffs😜🤦🏼‍♂️🤨😂😂😂,Poplar,sexism,2022-12-23 16:32:28+00:00,51.5110713,-0.0144629
illegal harassment of pregnant women by medieval cultists is truly disgustingnleave them alone go and pray in your sexist cult temples,Camberwell,religion,2022-12-23 16:20:24+00:00,51.4745706,-0.0925416
shame on you scumbag,Lewisham,sexism,2022-12-23 16:13:46+00:00,51.4624292,-0.0101787
beginningtolookalotlikechristmas habitatchristmastree christmastime london united kingdom,City of London,other,2022-12-23 16:12:07+00:00,51.515053699999996,-0.09311889867661148
bloody women drivers,Bromley,sexism,2022-12-23 16:08:50+00:00,51.36685695,0.061709076090816765
iservalan taletellerclub tattoos london united kingdom,City of London,other,2022-12-23 16:02:57+00:00,51.515053699999996,-0.09311889867661148
nice dresses too says the shallow gay 😂,Camden Town,sexual_orientation,2022-12-23 15:47:00+00:00,51.5423045,-0.1395604
daily photo friday december am early start farringdon london,Islington,other,2022-12-23 14:38:41+00:00,51.5384287,-0.0999051
thirsty friday 👅👅👅n👉cum and watch how that naughty mouth likes to be loaded 💦💦💦nslut wifey swingers spunk hornynn,London,sexism,2022-12-23 14:32:32+00:00,36.4846239,-119.44405977174983
😂😂back moaning already what a twat,Bromley,sexism,2022-12-23 14:21:18+00:00,51.36685695,0.061709076090816765
thats dead morocco isnt there,Hammersmith,other,2022-12-23 14:09:28+00:00,51.4920377,-0.2236401
interesting take but a few women can play chess also,Barnet,sexism,2022-12-23 13:54:39+00:00,51.65309,-0.2002261
job before wife any man would,Lewisham,sexism,2022-12-23 13:38:47+00:00,51.4624292,-0.0101787
imbecile la rek commencer diay dibi rek fognj loula nekh def,Brent,other,2022-12-23 13:33:46+00:00,51.5639957,-0.27590641378489267
only baddest 🐐 e choke london united kingdom,City of London,other,2022-12-23 13:31:25+00:00,51.515053699999996,-0.09311889867661148
hahahah lingard,Barnet,other,2022-12-23 13:21:11+00:00,51.65309,-0.2002261
die hardnhome alone nindiana jones n🤷‍♂️,Hackney,other,2022-12-23 13:00:01+00:00,51.5432402,-0.0493621
why do gays in newcastle hates me 😩,Wandsworth,sexual_orientation,2022-12-23 12:55:36+00:00,51.4570271,-0.1932607
get out of my country bigot and never come back racist fascist xenophobe,Lambeth,racism,2022-12-23 12:17:20+00:00,51.4952111,-0.1163354
what a horrible cunty thing to think,Barnet,sexism,2022-12-23 11:27:47+00:00,51.65309,-0.2002261
merry christmas fromnget pr donengetprdone nproportionalrepresentation,Lewisham,other,2022-12-23 11:27:22+00:00,51.4624292,-0.0101787
its all totally fugazi now,Harrow,other,2022-12-23 11:18:55+00:00,51.596827149999996,-0.3373046180437286
she also turns the gas off to flip the bacon tightcunt,Barnet,sexism,2022-12-23 11:03:46+00:00,51.65309,-0.2002261
flood alert lower lee tributaries december,London,other,2022-12-23 10:20:25+00:00,36.4846239,-119.44405977174983
the people from this murderous regime have to be thrown out of iran totally unacceptable 😡😡,Poplar,racism,2022-12-23 10:15:16+00:00,51.5110713,-0.0144629
just how did our country end up in a position where an unelected judge can direct the government to spend £millions giving a pay rise to illegal dinghy boys ❓,Hillingdon,racism,2022-12-23 10:09:48+00:00,51.542519299999995,-0.44833493117949663
that is because he is not the son of his father but he is the son of unknown nasty arabn,Hounslow,racism,2022-12-23 10:07:19+00:00,51.4686132,-0.3613471
stop chasing these hoes work on yourself 👊🏽,Enfield,sexism,2022-12-23 09:40:21+00:00,51.6520851,-0.0810175
twunk evolution starting,City of London,other,2022-12-23 09:27:36+00:00,51.515053699999996,-0.09311889867661148
china lacked a zero covid exit plan its people are paying the price,Wandsworth,racism,2022-12-23 09:10:42+00:00,51.4570271,-0.1932607
renationalise amp restore small parcel amp letter franchise,Camberwell,other,2022-12-23 09:03:52+00:00,51.4745706,-0.0925416
thats dangerousbold declaring from jharkhand there ranjitrophy,Bromley,other,2022-12-23 08:42:11+00:00,51.36685695,0.061709076090816765
transport container with rail … god please give nigeria sense,Barking,other,2022-12-23 08:41:38+00:00,51.5389922,0.0804245
iamherearchitecture art painter leighton beauty london united kingdom,City of London,other,2022-12-23 08:01:47+00:00,51.515053699999996,-0.09311889867661148
“it’s a man’s job”,Camden Town,sexism,2022-12-23 07:49:46+00:00,51.5423045,-0.1395604
chinese will sort everything ken 🤣,Islington,racism,2022-12-23 07:08:15+00:00,51.5384287,-0.0999051
ogun idile is real pray against it at all time,Barking,religion,2022-12-23 06:53:17+00:00,51.5389922,0.0804245
stacked nnactive workoutmotivation strong exercise personaltraining trainingmotivation training traininghard cardio trainingday,Hillingdon,other,2022-12-23 06:48:11+00:00,51.542519299999995,-0.44833493117949663
luke ni will be handed over to the gentiles to be mocked and treated shamefully and spat upon,Barking,religion,2022-12-23 05:56:57+00:00,51.5389922,0.0804245
youtubers clowning conor fking mcgregor kmt,Barnet,other,2022-12-23 03:43:02+00:00,51.65309,-0.2002261
paddingtongt canary wharf cause westgt south😎,Paddington,other,2022-12-23 02:02:29+00:00,51.5185075,-0.1787546
england lionheart uk london reinounido londres england inglaterra ferias vacation viagens turista imstatravel instaphoto em parliament square,London,other,2022-12-23 01:13:57+00:00,36.4846239,-119.44405977174983
tfl transportforlondon mind speaktous london united kingdom,City of London,other,2022-12-23 00:57:55+00:00,51.515053699999996,-0.09311889867661148
do it if u ain’t a bitch,Hillingdon,sexism,2022-12-23 00:14:05+00:00,51.542519299999995,-0.44833493117949663
bloody fuckwit,Islington,other,2022-12-22 23:54:01+00:00,51.5384287,-0.0999051
manu away leaguecup quarterfinals magic coyr charlton athletic fc,Greenwich,other,2022-12-22 23:07:31+00:00,51.46862565,0.04883057313755089
i don’t wanna hear no more “women talk” it’s “bag talk” only🗣️💰,London,sexism,2022-12-22 22:37:41+00:00,36.4846239,-119.44405977174983
missing cockerpoo epsom epsomdowns chessingtonroad ewell,Wandsworth,other,2022-12-22 22:15:39+00:00,51.4570271,-0.1932607
nothing is more dangerous than a woman who likes everything how is as man to arrange matters so that she likes him alonenby doing nothingnnheaven has no favourites erich maria remarque,Lambeth,sexism,2022-12-22 22:11:19+00:00,51.4952111,-0.1163354
you are going to have a fag……night my lovely,Merton,sexual_orientation,2022-12-22 22:01:02+00:00,51.41086985,-0.18809708858824303
mum not welcome at childs school nativity show due to heavily tattooed face,Enfield,sexism,2022-12-22 21:50:23+00:00,51.6520851,-0.0810175
stupid little cunt,Islington,sexism,2022-12-22 21:30:36+00:00,51.5384287,-0.0999051
eames chair royal oak swiss army knife raybans…,Lewisham,other,2022-12-22 21:25:33+00:00,51.4624292,-0.0101787
prexmas freshly pumped cannon flex to make ur pathetic worthless bitchesss drool hahaha,London,sexism,2022-12-22 21:15:00+00:00,36.4846239,-119.44405977174983
stupid bint,Bexley,sexism,2022-12-22 21:14:12+00:00,51.4416793,0.150488
diane arbus christmas tree levittown long island nnnnnnnndianearbus london united kingdom,City of London,other,2022-12-22 20:57:27+00:00,51.515053699999996,-0.09311889867661148
traitors final time,Islington,other,2022-12-22 20:56:09+00:00,51.5384287,-0.0999051
londoncity royalalberthall doortodoor cahuffeurservice christmaslights arriveinstyle luxurytravel royal albert hall,London,other,2022-12-22 20:28:02+00:00,36.4846239,-119.44405977174983
someone shut this mug up ffs,Camden Town,racism,2022-12-22 20:11:05+00:00,51.5423045,-0.1395604
you’re a woman who knows what’s good rare,Lambeth,sexism,2022-12-22 20:05:19+00:00,51.4952111,-0.1163354
what do you do when you find the “i gat your back kinda woman”,Lewisham,sexism,2022-12-22 19:57:04+00:00,51.4624292,-0.0101787
scumbags and it’s only going to get worse,Bexley,sexism,2022-12-22 19:52:49+00:00,51.4416793,0.150488
hope the cunt punctured his lung,Barnet,sexism,2022-12-22 19:49:35+00:00,51.65309,-0.2002261
“she is not a proper princess”…… words that vile women uttered to princess charlotte,Kingston upon Thames,sexism,2022-12-22 19:49:16+00:00,51.4096275,-0.3062621
no but what ever your religion might have to apologise for your stupidity,City of London,religion,2022-12-22 19:07:19+00:00,51.515053699999996,-0.09311889867661148
drop the broke ass bitch and do yourself a favour energy and money are a precious exchange and we shouldn’t belittle the power we hold or let moochers take advantage of us,Hackney,sexism,2022-12-22 18:52:33+00:00,51.5432402,-0.0493621
you havent got any clue off what you are saying what a retarded ignorant you are nob,Barnet,other,2022-12-22 18:38:38+00:00,51.65309,-0.2002261
today was the start of my good will to all men till a cunt as i was turning left with a red man on the crossing sarcastically said thanks for stopping intitled soppy wankers 🤬who haven’t a clue,Kensington,sexism,2022-12-22 18:36:54+00:00,51.4989948,-0.1991229
utter clown,London,other,2022-12-22 18:29:05+00:00,36.4846239,-119.44405977174983
shut up you twat,Hounslow,sexism,2022-12-22 18:19:34+00:00,51.4686132,-0.3613471
vile woman causing untold damage,Harrow,sexism,2022-12-22 18:05:30+00:00,51.596827149999996,-0.3373046180437286
unconscionable statement by lagos can heartless figurehead,Enfield,other,2022-12-22 18:01:00+00:00,51.6520851,-0.0810175
god saved the jews via,Enfield,religion,2022-12-22 17:53:30+00:00,51.6520851,-0.0810175
full tourist modenlondon coventgardens xmas covent garden,London,other,2022-12-22 17:38:07+00:00,36.4846239,-119.44405977174983
you people are getting married to devils in disguise cos i don’t understand again,Barking,religion,2022-12-22 17:15:52+00:00,51.5389922,0.0804245
we are literally being flushed down the toilet by these torycriminalsunfittogovern n,Brent,other,2022-12-22 16:59:04+00:00,51.5639957,-0.27590641378489267
no wonder this country is going backwards whats a bunch off retardeds idiots 🤣🤣🤣🤣🤣🤣,Barnet,other,2022-12-22 16:58:59+00:00,51.65309,-0.2002261
something to goon on when you touch your clit lol imagine how i bend you over and break your holes with my cah cock now shut up and end 😈😏🍆,London,sexism,2022-12-22 16:44:54+00:00,36.4846239,-119.44405977174983
twatsforlefties,Paddington,sexism,2022-12-22 16:12:52+00:00,51.5185075,-0.1787546
more like you cant be nwell done to the scottish national perverts,Camden Town,racism,2022-12-22 16:11:40+00:00,51.5423045,-0.1395604
vgian when vegan doesnt mean tasteless,London,other,2022-12-22 16:04:50+00:00,36.4846239,-119.44405977174983
blunts like em long nbitches like blonde ncali see lakersnin the building see lebron nn,Paddington,sexism,2022-12-22 15:50:35+00:00,51.5185075,-0.1787546
i hate to say this but the quality of keepers in womens football lets the sport down nngl this is funny tho 😂,Brent,sexism,2022-12-22 14:45:58+00:00,51.5639957,-0.27590641378489267
precisely shazndoes the silly woman not realise that the iron uses expensive electricity 😱😱,Sutton,sexism,2022-12-22 14:30:26+00:00,51.3612155,-0.1921503
utterly insane loons bro😂😂😂,Poplar,sexual_orientation,2022-12-22 14:15:40+00:00,51.5110713,-0.0144629
here’s why most men in uk 🇬🇧 are sexlessn,Lambeth,sexism,2022-12-22 14:01:57+00:00,51.4952111,-0.1163354
conservative government democide………again,Ealing,other,2022-12-22 13:59:45+00:00,51.5126553,-0.3051952
dog phone gloria’s trainers ruby curry nelson stella,London,other,2022-12-22 13:25:44+00:00,36.4846239,-119.44405977174983
putin loving killer stfu,Ealing,other,2022-12-22 13:17:27+00:00,51.5126553,-0.3051952
apparently she is not the right kind of jew that wants in its membership,Poplar,religion,2022-12-22 13:12:44+00:00,51.5110713,-0.0144629
absolutely massive fight quid assuming its reasonable uk time,Bromley,other,2022-12-22 13:12:25+00:00,51.36685695,0.061709076090816765
looks like blue tit alright,Ealing,other,2022-12-22 13:11:25+00:00,51.5126553,-0.3051952
no of course i don’t regret not going to alexandra college how would mum and dad have paid for it i don’t even get half a scholarship there and i hate girls,London,sexism,2022-12-22 13:10:14+00:00,36.4846239,-119.44405977174983
sack the border force replace them with royal marines it would soon stop thennb you sack the border force check their bank accounts because we are paying million pounds to the french to be invadedthey take in uk over of illegals🤬🤬🤬,Hounslow,racism,2022-12-22 12:53:19+00:00,51.4686132,-0.3613471
ffs what a twat,Croydon,sexism,2022-12-22 12:48:35+00:00,51.3713049,-0.101957
so why the f are they bringing them here 🤬🤬🤬enough is enough its well over the top now stop illegal migration we have no room amp too many indigenous homeless🛑🛑🛑concentrate on those,Hounslow,racism,2022-12-22 12:47:17+00:00,51.4686132,-0.3613471
he is an arab an enemy of the jews,Barnet,religion,2022-12-22 12:18:19+00:00,51.65309,-0.2002261
that selfish brat needs to learn to read the country,Bromley,sexism,2022-12-22 11:53:03+00:00,51.36685695,0.061709076090816765
new dunlop fx range due january tennisys racquet service centre,Bexley,other,2022-12-22 11:38:14+00:00,51.4416793,0.150488
putraimdesas – latvian black pudding sausage,London,other,2022-12-22 11:33:53+00:00,36.4846239,-119.44405977174983
absolute mongs mate,Romford,other,2022-12-22 11:30:18+00:00,51.5760462,0.1822646
where do the toriesunfittogovern find these horrendous out of touch dinosaurs to be their mps and who fucking votes for them,Lambeth,other,2022-12-22 11:00:28+00:00,51.4952111,-0.1163354
easy coaching game part intensity amp failure nngym coaching onlinecoach fitnesscoach onlinework personaltrainer onlinepersonaltrainer,Wandsworth,other,2022-12-22 10:58:47+00:00,51.4570271,-0.1932607
magichour mist iphonephotography hanwell london united kingdom,Ealing,other,2022-12-22 10:25:45+00:00,51.5126553,-0.3051952
fugly’s 😂,Hounslow,sexual_orientation,2022-12-22 10:01:54+00:00,51.4686132,-0.3613471
your not even the ceo of your husbands nuts 😂getn real bitch,Islington,sexism,2022-12-22 09:48:22+00:00,51.5384287,-0.0999051
and then the stupid guys play house,Camberwell,sexism,2022-12-22 09:44:10+00:00,51.4745706,-0.0925416
looking hench buddy,Lambeth,other,2022-12-22 09:28:35+00:00,51.4952111,-0.1163354
vegan vaginas great all girl punk band name,Kingston upon Thames,other,2022-12-22 09:07:18+00:00,51.4096275,-0.3062621
q know na yep,Ealing,other,2022-12-22 08:53:32+00:00,51.5126553,-0.3051952
london fashionista proeurope campaigner portraitn ntheindependentphoto nfashionistastyle nstreetportraits nstreetstyle london united kingdom,City of London,other,2022-12-22 08:28:25+00:00,51.515053699999996,-0.09311889867661148
dead daisys kentish town fourum,Barnet,other,2022-12-22 08:24:58+00:00,51.65309,-0.2002261
chinas covid chaos how a shortage of fever drugs is sparking a global run on medicinesnn,Wandsworth,racism,2022-12-22 08:23:15+00:00,51.4570271,-0.1932607
when that religion spends most of its time trying to destroy you and your peers you’re allowed to spill so stfu,London,religion,2022-12-22 08:21:54+00:00,36.4846239,-119.44405977174983
raging sex pest,Camberwell,sexism,2022-12-22 08:17:59+00:00,51.4745706,-0.0925416
china is likely seeing million covid cases deaths a day,Wandsworth,racism,2022-12-22 08:16:50+00:00,51.4570271,-0.1932607
victorian kids watching h,Hillingdon,other,2022-12-22 08:11:17+00:00,51.542519299999995,-0.44833493117949663
mens genuine leather gloves fleece lined winter warm classic soft black glovesnusagloves usa canada europe instafit supportsmallbusiness poland coronavirus corona boxing mma weightlifting lockdown covid martialarts biking fights braap gloves glove leatherglov,London,other,2022-12-22 08:00:33+00:00,36.4846239,-119.44405977174983
unclean scum along with the police and so is the food they eat,Lambeth,racism,2022-12-22 07:28:10+00:00,51.4952111,-0.1163354
