text,Borough,hate_pred,date,latitude,longitude
  little nob    ,Croydon,disability,2022-12-26 19:18:59+00:00,51.3713049,-0.101957
 the taliban is not an islamic sect  it is just an evil organisation that should be wiped off the face of the earth  the taliban have forgotten that they are born of women  the taliban are just ignorant  stupid satan ,Paddington,religion,2022-12-26 19:15:45+00:00,51.5154795,-0.175365
a chinese spy tried to steal ge s secrets  instead he got caught by the us and gave the world an unprecedented glimpse into china s espionage apparatus  ,Camberwell,racism,2022-12-26 17:58:55+00:00,51.4745706,-0.0925416
 cunt wants filling in,Camden Town,sexism,2022-12-26 16:42:56+00:00,51.5423045,-0.1395604
a women goalkeeper on  telling a  goalkeeper where he going wrong  is bloody laughable     ,Bromley,sexism,2022-12-26 15:41:25+00:00,51.4028046,0.0148142
 finest femme ever,Lambeth,sexism,2022-12-26 15:16:42+00:00,51.4952111,-0.1163354
 freaking retarded s idiot s     ,Barnet,disability,2022-12-26 14:54:16+00:00,51.65309,-0.2002261
when men put  secret account  i either think they re on the run from the police or their wives  ,Croydon,sexism,2022-12-26 12:15:19+00:00,51.3713049,-0.101957
the letter mentioned here by  from chinese state media has already got censored in china   n nhow i wish chinese law professors pen a letter calling for the chinese gov to close the xinjiang prison camps as not only it is illegal  amp  detrimental to ccp s own interests   ,Camden Town,racism,2022-12-26 09:09:58+00:00,51.5423045,-0.1395604
as a female who doesnt wear ever make up      ,Poplar,sexism,2022-12-25 21:24:43+00:00,51.5110713,-0.0144629
 bitches ,Barnet,sexism,2022-12-25 18:38:08+00:00,51.65309,-0.2002261
 twat,Poplar,sexism,2022-12-25 16:52:20+00:00,51.5110713,-0.0144629
  but they are not performing femininity because there is no such thing ,Camden Town,sexism,2022-12-25 07:18:09+00:00,51.5423045,-0.1395604
  but seemed to fall over for no apparent reason  which seems to be a recurring theme in women s football  n nnot that i watch     of it,Bromley,sexism,2022-12-25 00:25:10+00:00,51.4028046,0.0148142
whole of china is infected with covid again  disgusting country ,Barnet,racism,2022-12-24 22:41:41+00:00,51.65309,-0.2002261
when a man makes money  his thought process consists of starting a family and raising his kids but when a woman makes money  she d be like  fuck it  i m independent  i don t need a man to get married  true or false ,Croydon,sexism,2022-12-24 22:41:17+00:00,51.3713049,-0.101957
as many celebrate holidays including in china  i pray the chinese government to have a tiny bit of decency  it must free these children s parents allow them to leave china and reunite with their children  the world is watching  time and history will not forget this injustice ,Camden Town,racism,2022-12-24 21:23:07+00:00,51.5423045,-0.1395604
we the #uyghurs commemorate the    days anniversary after we lose someone  today is a month since this #urumqifire tragedy took place caused by china s covid policy  this girl lost her mother and siblings  her father and brother are in the prison camps   n n ,Camden Town,racism,2022-12-24 21:17:04+00:00,51.5423045,-0.1395604
 tess,Wandsworth,sexism,2022-12-24 20:37:48+00:00,51.4570271,-0.1932607
 cuntzone ,Lewisham,sexism,2022-12-24 17:37:49+00:00,51.4624292,-0.0101787
 why doesn t she want to eat  n nkids seem way to much hassle  especially girls n ni kind of envisaged that if i had a son by    he d just want to lay around and get pissed by that age  ,Camberwell,sexism,2022-12-24 17:32:58+00:00,51.4745706,-0.0925416
  stfu u lot abuse animals,Paddington,racism,2022-12-24 10:40:48+00:00,51.5154795,-0.175365
china jail i wondered     ,Islington,racism,2022-12-24 09:21:03+00:00,51.5384287,-0.0999051
propaganda   it s a busy industry     let s all the unhappy people who don t like china move to the west thought the chinese government     they will get fat like man city football player  ,Islington,racism,2022-12-24 09:08:09+00:00,51.5384287,-0.0999051
 i don t  my female characters are better than my male ones  they have more interior life ,Camden Town,sexism,2022-12-24 08:02:06+00:00,51.5423045,-0.1395604
 more than women          ,Croydon,sexism,2022-12-23 23:19:48+00:00,51.3713049,-0.101957
 no man can satisfy her  maximum   months,Wandsworth,sexism,2022-12-23 23:01:30+00:00,51.4570271,-0.1932607
women can just be friends  but ah cannot just be friends with anyone  she has to consume a person  and leave only the kernel   ,Islington,sexism,2022-12-23 20:46:46+00:00,51.5384287,-0.0999051
men are so confusing,Poplar,sexism,2022-12-23 19:20:18+00:00,51.5110713,-0.0144629
ffs them sausage roll twats are christmas number  ,Croydon,sexism,2022-12-23 18:05:56+00:00,51.3713049,-0.101957
    the current guidelines are based upon medical and social assessments based upon an outmoded standard of  femininity ,Camden Town,sexism,2022-12-23 16:39:04+00:00,51.5423045,-0.1395604
  illegal harassment of pregnant women by medieval cultists is truly disgusting  nleave them alone  go and pray in your sexist cult temples ,Camberwell,religion,2022-12-23 16:20:24+00:00,51.4745706,-0.0925416
  job before wife  any man would ,Lewisham,sexism,2022-12-23 13:38:47+00:00,51.4624292,-0.0101787
   really intelligent lol ,Hounslow,disability,2022-12-23 13:35:57+00:00,51.4686132,-0.3613471
 exactly  some men gt carried away easily and completely blind about the future,London,sexism,2022-12-23 12:43:33+00:00,51.5073359,-0.12765
 the people from this murderous regime have to be thrown out of iran  totally unacceptable   ,Poplar,racism,2022-12-23 10:15:16+00:00,51.5110713,-0.0144629
china lacked a  zero covid  exit plan  its people are paying the price   ,Wandsworth,racism,2022-12-23 09:10:42+00:00,51.4570271,-0.1932607
   there have been innumerable women s games commentated on by all male pundits  what should matter is the knowledge between their ears  not the biology between their legs ,Hackney,sexism,2022-12-23 08:56:01+00:00,51.5432402,-0.0493621
  it s a man s job   ,Camden Town,sexism,2022-12-23 07:49:46+00:00,51.5423045,-0.1395604
chinese will sort everything ken  ,Islington,racism,2022-12-23 07:08:15+00:00,51.5384287,-0.0999051
stupid little cunt,Islington,sexism,2022-12-22 21:30:36+00:00,51.5384287,-0.0999051
 hope the cunt punctured his lung ,Barnet,sexism,2022-12-22 19:49:35+00:00,51.65309,-0.2002261
t is the night we celebrate bluemas at stamford bridge for  playing against psg feminines for the last #uwcl under the lights  #cfcw #bluearmy        ,Hammersmith,sexism,2022-12-22 19:30:02+00:00,51.4920377,-0.2236401
men are such simple beings     ,Romford,sexism,2022-12-22 18:31:30+00:00,51.5760462,0.1822646
the english   they will rub your nose in the shit till you smell it  ,Lambeth,racism,2022-12-22 18:30:27+00:00,51.4952111,-0.1163354
i ve gonna be real with you  i cannot watch football like this n ni can not listen to a man describe a professional football match like it s an episode of he man  sosn c,Camberwell,sexism,2022-12-22 17:36:09+00:00,51.4745706,-0.0925416
  wives would be getting very good job offers,Bromley,sexism,2022-12-22 16:49:24+00:00,51.4028046,0.0148142
 men are just mad that the toys available for us all suck  no pun intended ,Camden Town,sexism,2022-12-22 16:44:50+00:00,51.5423045,-0.1395604
 what s with women ,Camden Town,sexism,2022-12-22 15:59:41+00:00,51.5423045,-0.1395604
 it had better not be true you can monitor ppls bank accounts  do not even think of turning our country into a communist big brother country  this is not and never will be china,Barnet,racism,2022-12-22 14:46:36+00:00,51.65309,-0.2002261
 every time i see any fifa officials all i can think is twat and how much   is in the brown envelope,Poplar,sexism,2022-12-22 12:44:02+00:00,51.5110713,-0.0144629
  women s football  ,Croydon,sexism,2022-12-22 11:13:22+00:00,51.3713049,-0.101957
 kick her in the cunt ,Lambeth,sexism,2022-12-22 11:00:13+00:00,51.4952111,-0.1163354
   except that there are no gods  and i m not going to live my life in a  christian death cult that worships an imaginary being who is apparently genocidal  homophobic and causes or allows little children to suffer  i pity you and your delusions of being  special  ,Wandsworth,religion,2022-12-22 07:39:33+00:00,51.4570271,-0.1932607
 let s hope they can t travel freely for chinese new year   or that will kick start the whole nightmare yet again,London,racism,2022-12-22 06:15:22+00:00,51.5073359,-0.12765
hi   move to moscow  you are a disgusting human being  i hope you like being the slave to reprobate putin because after him comes the devil ,London,religion,2022-12-22 01:24:01+00:00,51.5073359,-0.12765
  sneaks and dirt femme  ,Hammersmith,sexism,2022-12-21 23:35:32+00:00,51.4920377,-0.2236401
 intellectually  smart   respect,Bromley,disability,2022-12-21 23:33:52+00:00,51.4028046,0.0148142
absolute fucking idiots  #thetraitors,Camberwell,disability,2022-12-21 21:51:46+00:00,51.4745706,-0.0925416
imagine a bitch walk up to you and pull a piece of yo hair out,Camden Town,sexism,2022-12-21 21:51:37+00:00,51.5423045,-0.1395604
  bmw owners  utter bellends,Islington,sexism,2022-12-21 20:27:59+00:00,51.5384287,-0.0999051
 hate that cunt ,Camden Town,sexism,2022-12-21 18:37:40+00:00,51.5423045,-0.1395604
the vulgarity of female musicians in hip hop and r amp b is unmatched     ,Camden Town,sexism,2022-12-21 15:40:31+00:00,51.5423045,-0.1395604
 what the f    is going on    why is a man in a woman s prison   ,Hounslow,sexism,2022-12-21 15:18:16+00:00,51.4686132,-0.3613471
  i ve been to china many times  i don t mean           times as many  i found people in my age  amp  order know better than current generation  chinese people would say they re proud of but they can t say things in details  simplified chinese use made them hard to read old books  too ,Paddington,racism,2022-12-21 13:58:28+00:00,51.5154795,-0.175365
  up until early   th century  west took many chinese relics from china  but the destruction level by cultural revolution was so brutal  those which were parts of historical buildings were burnt  destroyed by red guards  i found most of chinese in prc don t know much about it ,Paddington,racism,2022-12-21 13:23:36+00:00,51.5154795,-0.175365
  chiang kai shek moved them from china ahead of ccp troops taking over of mainland china  that s why it is said that  true cultural relics are in taiwan  not in mainland china   mao s cultural revolution destroyed historical  cultural relics remained in china ,Paddington,racism,2022-12-21 13:15:00+00:00,51.5154795,-0.175365
   i could never root for those savages  nhorrible folk,Barnet,racism,2022-12-21 12:40:47+00:00,51.65309,-0.2002261
   go away mouthy   your vile vitriol is not needed  you get away with too much  if you dont like this country go find another one  or even better go back to your slave trading ancestral family ,Camberwell,racism,2022-12-21 10:12:54+00:00,51.4745706,-0.0925416
men are fucking crazy  omd,Camberwell,sexism,2022-12-21 09:46:50+00:00,51.4745706,-0.0925416
  y don t u ask your wife to write such book as well  make more money  ,Wandsworth,sexism,2022-12-21 07:26:42+00:00,51.4570271,-0.1932607
  another stupid cunt  this will bring short arse down,Barnet,sexism,2022-12-21 02:38:31+00:00,51.65309,-0.2002261
  th is just plain retarded wtf,Romford,disability,2022-12-21 02:27:52+00:00,51.5760462,0.1822646
 han chinese were ruled by other tribes han chinese considered as  barbarians   people s republic of china  prc  would be the second entity controlled by han chinese in the history  most of young chinese don t know its history before prc  traditions  etc so it is dare situation ,Paddington,racism,2022-12-21 02:17:44+00:00,51.5154795,-0.175365
  really  nwill you trust imported government  puppet army  amp  their un trustworthiness  team   shg unlm,London,racism,2022-12-21 00:22:34+00:00,51.5073359,-0.12765
 more chinese scare tactics ,Barnet,racism,2022-12-20 22:26:37+00:00,51.65309,-0.2002261
 women are statistically more likely to have this injury  but yes  all humans are prone,Camden Town,sexism,2022-12-20 21:31:15+00:00,51.5423045,-0.1395604
stop flights from china immediately   this can spread next level covid   n    shpanp,Croydon,racism,2022-12-20 20:32:21+00:00,51.3713049,-0.101957
 what a twat,Barnet,sexism,2022-12-20 20:29:00+00:00,51.65309,-0.2002261
 religious  patriarchy is truly a vile cancer on humanity    whether islam  christian or jewish etc  nit is the enemy of freedom  amp  its misogyny  amp  homophobia are despicable    ,Camberwell,religion,2022-12-20 19:45:38+00:00,51.4745706,-0.0925416
 definitely not  nob    ,Barnet,disability,2022-12-20 19:45:38+00:00,51.65309,-0.2002261
 pathetic faggot,London,sexual_orientation,2022-12-20 16:42:00+00:00,51.5073359,-0.12765
 left  mushroom head creature  ludicrous  nright  mushroom head creature  grounded   ,Wandsworth,disability,2022-12-20 15:49:37+00:00,51.4570271,-0.1932607
as you fucking should  go get their racist ass  ,Camberwell,racism,2022-12-20 15:40:07+00:00,51.4745706,-0.0925416
i m completely convinced if a man doesn t have any social media  it s the biggest    ,Camden Town,sexism,2022-12-20 09:29:57+00:00,51.5423045,-0.1395604
i think that s called  moving the goalposts  elon my china   ,Wandsworth,racism,2022-12-20 08:04:10+00:00,51.4570271,-0.1932607
men dont have a vagina,Camden Town,sexism,2022-12-20 03:09:35+00:00,51.5423045,-0.1395604
twat  ,Camden Town,sexism,2022-12-20 02:30:58+00:00,51.5423045,-0.1395604
some women have zero shame           ,Hammersmith,sexism,2022-12-19 23:59:56+00:00,51.4920377,-0.2236401
 fucking evil barbarian dictators ,Barnet,racism,2022-12-19 20:43:36+00:00,51.65309,-0.2002261
some men aren t good people ,Hackney,sexism,2022-12-19 20:07:09+00:00,51.5432402,-0.0493621
 chinese take away ,Paddington,racism,2022-12-19 19:40:02+00:00,51.5154795,-0.175365
russia need to get these guys finished off in     ,Camberwell,racism,2022-12-19 14:06:08+00:00,51.4745706,-0.0925416
nasty spiteful misogynistic tit we see through this  ,Camden Town,sexism,2022-12-19 13:53:12+00:00,51.5423045,-0.1395604
sometimes agnew comes across as such a twat ,Bromley,sexism,2022-12-19 09:17:21+00:00,51.4028046,0.0148142
fuck bitches get money     forget the gyalies mi want rass money             ,Hackney,sexism,2022-12-19 05:57:48+00:00,51.5432402,-0.0493621
 yh thats just retarded,Romford,disability,2022-12-19 01:46:32+00:00,51.5760462,0.1822646
 desperately stupid ,Camberwell,disability,2022-12-18 20:43:26+00:00,51.4745706,-0.0925416
i just can t fuck with these rat ass bitches  they be doing it for clout,London,sexism,2022-12-18 19:42:59+00:00,51.5073359,-0.12765
karen carney has to stop comparing this to the lionesses euro win  some dumb and unnecessary comments        i would call them out if a man made them  so calling them out when a women does ,Lambeth,sexism,2022-12-18 18:54:51+00:00,51.4952111,-0.1163354
the only thing that can make a man cry aside woman is football  what a game    scoring an hat trick yet not winning the game  n cup euphoria is over  congratulations       messi less messi  st,Lambeth,sexism,2022-12-18 18:21:39+00:00,51.4952111,-0.1163354
 just cunts will do perfectly fine,Hackney,sexism,2022-12-18 17:58:41+00:00,51.5432402,-0.0493621
couldn t have happened to bigger cunts than the french  get in ,Hillingdon,racism,2022-12-18 17:55:46+00:00,51.542519299999995,-0.44833493117949663
things girls do to impress guys uufff ,London,sexism,2022-12-18 16:52:37+00:00,51.5073359,-0.12765
 weird cunt,Romford,sexism,2022-12-18 16:17:28+00:00,51.5760462,0.1822646
there s wimmin on the pitch #bbcworldcup,Paddington,sexism,2022-12-18 14:40:00+00:00,51.5154795,-0.175365
 let a girl down gently then     ,Lewisham,sexism,2022-12-18 13:15:13+00:00,51.4624292,-0.0101787
  they don t know what a women is  tax is beyond them tbh  ,Lewisham,sexism,2022-12-18 12:40:48+00:00,51.4624292,-0.0101787
       that line of questioning definitely needs to be added body size    please choose from one of following   slim   medium   large   fucking fat cunt,Lewisham,sexism,2022-12-18 10:18:03+00:00,51.4624292,-0.0101787
   what  a man such as you should only wear speedos  ,Camden Town,sexism,2022-12-18 10:16:35+00:00,51.5423045,-0.1395604
men idolise male footballers  i idolise female broadcasters ,London,sexism,2022-12-18 09:11:49+00:00,51.5073359,-0.12765
 north korea funds its military and security apparatus by trafficking their own people for forced labour  n ,Lambeth,racism,2022-12-18 04:11:04+00:00,51.4952111,-0.1163354
i want older female friends  ,Hackney,sexism,2022-12-18 01:49:34+00:00,51.5432402,-0.0493621
  they are men biologically,Camberwell,sexism,2022-12-17 22:07:11+00:00,51.4745706,-0.0925416
 two fingers to the racist #tory scum  nsay it loud and say it clear #refugeesarewelcomehere  n#toryscumout  swswgblek,Hackney,racism,2022-12-17 19:31:27+00:00,51.5432402,-0.0493621
men can never be women   ,Camden Town,sexism,2022-12-17 17:13:01+00:00,51.5423045,-0.1395604
what is it with men and gravitating towards buying any female in their life  bath stuff  for christmas   ,Wandsworth,sexism,2022-12-17 14:17:08+00:00,51.4570271,-0.1932607
  like anyone gives a shit what a hun thinks,Richmond,sexism,2022-12-17 12:46:07+00:00,51.4613531,-0.3032767
 honestly cunt nation,Richmond,sexism,2022-12-17 11:34:19+00:00,51.4613531,-0.3032767
 blithering  half witted  sub cognitive children don t usually become multi  millionaires ,Barnet,disability,2022-12-17 10:41:04+00:00,51.65309,-0.2002261
 what a basic bitch  ,Lambeth,sexism,2022-12-17 10:32:50+00:00,51.4952111,-0.1163354
 twat,Barnet,sexism,2022-12-16 23:41:13+00:00,51.65309,-0.2002261
from a man s perspective i disagree but from a woman s perspective  spot on advice  the negative consequences of such decisions are disproportionately born by women  ,Croydon,sexism,2022-12-16 18:34:14+00:00,51.3713049,-0.101957
retard  s,Hackney,disability,2022-12-16 17:07:36+00:00,51.5432402,-0.0493621
cheap made in china consumer goods are getting worse and worse  from factory to landfill  crumbling apart upon unboxing  the problem is  this garbage is all you can buy  there s nothing else left ,Lewisham,racism,2022-12-16 16:42:26+00:00,51.4624292,-0.0101787
   blocked  dumb,Lambeth,disability,2022-12-16 15:40:55+00:00,51.4952111,-0.1163354
   i was told by a guy he was going to smash my face in while i was travelling with my daughter  it was terrifying  guards on trains  i d like to go full  lady carriages ,Camberwell,sexism,2022-12-16 12:27:04+00:00,51.4745706,-0.0925416
thunder all out for fifteen   nimagine what people would say if this were a women s game      n n#bbl   #sydneythunder #crickettwitter,Lambeth,sexism,2022-12-16 11:51:30+00:00,51.4952111,-0.1163354
tbh if i could have any superpower on earth it would be not needing a man to help me build flatpack furniture,Islington,sexism,2022-12-16 11:20:49+00:00,51.5384287,-0.0999051
rambling midget moron  ,Hammersmith,disability,2022-12-16 09:01:59+00:00,51.4920377,-0.2236401
this page is solely for the intent of rinsing faggots  if you waste my time you ll be straight up blocked  ,Paddington,sexual_orientation,2022-12-16 03:01:05+00:00,51.5154795,-0.175365
a woman can be pissed off with you and yet still understand and care about you,Croydon,sexism,2022-12-15 23:35:09+00:00,51.3713049,-0.101957
if women controlled the world      ,Hackney,sexism,2022-12-15 22:01:29+00:00,51.5432402,-0.0493621
 i would prefer dilf dungeon  ,Islington,sexual_orientation,2022-12-15 21:25:38+00:00,51.5384287,-0.0999051
 cheers rob me ole china     ,Romford,racism,2022-12-15 20:24:41+00:00,51.5760462,0.1822646
 unfortunately chimps and gorillas  especially males  can be extremely violent  xenophobic about other groups of apes  and will even rape and beat females from other groups  they will also kill and eat baby apes if left unattended  apes are generally not very nice creatures ,Wandsworth,racism,2022-12-15 19:40:12+00:00,51.4570271,-0.1932607
 two bloody ignorants idiot s    ,Barnet,disability,2022-12-15 19:26:41+00:00,51.65309,-0.2002261
when your wife wins at birthday cards    ,Camberwell,sexism,2022-12-15 17:28:54+00:00,51.4745706,-0.0925416
 just dey play     e go shock u your husband go choose world cup    dey play,Hounslow,sexism,2022-12-15 16:31:41+00:00,51.4686132,-0.3613471
   you think the chinese are that dumb to not read into that   you are naive mufana,Croydon,racism,2022-12-15 15:19:32+00:00,51.3713049,-0.101957
unlock it nbackseat nfemmebot  sw qew hcr,Paddington,sexism,2022-12-15 14:27:51+00:00,51.5154795,-0.175365
 massive bellend ,Camden Town,sexism,2022-12-15 13:33:35+00:00,51.5423045,-0.1395604
 all made in china  probably ,Lambeth,racism,2022-12-15 12:12:40+00:00,51.4952111,-0.1163354
 you do the rest and find a woman who can cook   simple   ,Poplar,sexism,2022-12-15 09:42:13+00:00,51.5110713,-0.0144629
     china wanted to seize key infrastructure in zambia after zambia defaulted on it loans  you want zambia to overly rely on china and become its client state  hh is simply diversifying sources of capital  the chinese are looting minerals like chrome  diamonds etc in zimbabwe,Croydon,racism,2022-12-15 05:28:44+00:00,51.3713049,-0.101957
china s government has removed a chinese consul general and five of his staff following the assault on a hong kong pro democracy at manchester  ,London,racism,2022-12-15 04:44:17+00:00,51.5073359,-0.12765
a girlfriend should be a potential wife  relationships are investments  not hobbies  date with purpose     ,Hammersmith,sexism,2022-12-15 03:24:34+00:00,51.4920377,-0.2236401
melting ice brings chinese threat closer  warns armed forces chief  ,Paddington,racism,2022-12-15 00:17:28+00:00,51.5154795,-0.175365
girls just wanna have funds,Barnet,sexism,2022-12-14 21:24:04+00:00,51.65309,-0.2002261
hope france spank them  sghao,Bromley,racism,2022-12-14 21:17:35+00:00,51.4028046,0.0148142
 hope this cowardly act backfires on them  despicable regime ,Bromley,racism,2022-12-14 21:08:12+00:00,51.4028046,0.0148142
p s fuck you france ,City of London,racism,2022-12-14 20:56:24+00:00,51.5156177,-0.0919983
women can t afford private jets  apparently   savv gchd,Camden Town,sexism,2022-12-14 20:36:25+00:00,51.5423045,-0.1395604
   retards fighting,Romford,disability,2022-12-14 18:20:27+00:00,51.5760462,0.1822646
 some videos you just can t get through  i m guessing if woman can t even look at it  they sure as hell aren t going to have sex with it   ,Wandsworth,sexism,2022-12-14 18:05:23+00:00,51.4570271,-0.1932607
both the men and the pick me ass women in these quotes can go to fckn hell  ,London,sexism,2022-12-14 17:50:31+00:00,51.5073359,-0.12765
    angry little dwarf  ,Hounslow,disability,2022-12-14 17:19:25+00:00,51.4686132,-0.3613471
